PD,SR,plot
0.771624755291767,4,3
2.2694795836014,16,4
1.24974974100637,8,5
0.517866808719106,2,6
0.415635491059588,2,8
0.258933404359553,1,11
0.415635491059588,2,12
0.433834868905499,2,13
2.2694795836014,16,14
0.719315732014437,4,15
1.24974974100637,8,16
0.43652627862348,2,18
2.2694795836014,16,19
1.25420631937388,8,22
0.517866808719106,2,24
2.2694795836014,16,25
0.599929337445959,4,27
1.25420631937388,8,28
2.2694795836014,16,29
0.771624755291767,4,32
0.415635491059588,2,33
0.337217729761471,2,34
0.376302368017638,2,36
0.517866808719106,2,37
2.2694795836014,16,39
0.782370888038785,4,40
0.517866808719106,2,42
0.43652627862348,2,43
0.517866808719106,2,45
1.42688243844276,8,46
0.870107930919048,4,48
1.32399720101816,8,49
2.2694795836014,16,50
0.415635491059588,2,51
0.366735396979197,2,53
0.800570265884696,4,54
0.433834868905499,2,55
0.517866808719106,2,57
1.42688243844276,8,59
0.517866808719106,2,61
0.433834868905499,2,64
0.599929337445959,4,67
0.719315732014437,4,68
2.2694795836014,16,71
0.433834868905499,2,72
0.415635491059588,2,73
0.517866808719106,2,74
0.870107930919048,4,75
0.782370888038785,4,76
0.415635491059588,2,78
1.24974974100637,8,79
0.782370888038785,4,80
0.771245095703415,4,81
1.32399720101816,8,85
0.599929337445959,4,86
0.517866808719106,2,87
0.366735396979197,2,88
0.415635491059588,2,89
0.517866808719106,2,91
0.517866808719106,2,92
0.771245095703415,4,94
2.2694795836014,16,95
0.415635491059588,2,96
0.803347671828044,4,97
0.433834868905499,2,107
2.2694795836014,16,108
0.517866808719106,2,109
0.376302368017638,2,110
0.43652627862348,2,111
2.2694795836014,16,112
0.517866808719106,2,113
0.415635491059588,2,114
2.2694795836014,16,115
0.771624755291767,4,117
0.517866808719106,2,119
0.337217729761471,2,120
0.803347671828044,4,121
0.433834868905499,2,122
0.517866808719106,2,124
1.32399720101816,8,125
0.719315732014437,4,127
2.2694795836014,16,130
0.366735396979197,2,131
0.800570265884696,4,132
0.517866808719106,2,133
0.870107930919048,4,135
1.25420631937388,8,136
0.800570265884696,4,137
0.771245095703415,4,138
0.517866808719106,2,139
0.415635491059588,2,141
0.337217729761471,2,142
0.376302368017638,2,143
0.517866808719106,2,145
0.803347671828044,4,146
2.2694795836014,16,149
0.415635491059588,2,150
1.42688243844276,8,151
2.2694795836014,16,153
0.415635491059588,2,155
0.258933404359553,1,1
0.258933404359553,1,2
0.258933404359553,1,7
0.258933404359553,1,10
0.258933404359553,1,17
0.258933404359553,1,20
0.258933404359553,1,21
0.258933404359553,1,23
0.258933404359553,1,26
0.258933404359553,1,30
0.258933404359553,1,31
0.258933404359553,1,38
0.258933404359553,1,41
0.258933404359553,1,44
0.258933404359553,1,47
0.258933404359553,1,52
0.258933404359553,1,56
0.258933404359553,1,60
0.258933404359553,1,62
0.258933404359553,1,65
0.258933404359553,1,66
0.258933404359553,1,69
0.258933404359553,1,77
0.258933404359553,1,82
0.258933404359553,1,83
0.258933404359553,1,90
0.258933404359553,1,93
0.258933404359553,1,98
0.258933404359553,1,99
0.258933404359553,1,100
0.258933404359553,1,101
0.258933404359553,1,102
0.258933404359553,1,103
0.258933404359553,1,104
0.258933404359553,1,105
0.258933404359553,1,106
0.258933404359553,1,116
0.258933404359553,1,123
0.258933404359553,1,126
0.258933404359553,1,128
0.258933404359553,1,129
0.258933404359553,1,134
0.258933404359553,1,140
0.258933404359553,1,144
0.258933404359553,1,147
0.258933404359553,1,152
0.258933404359553,1,154
