"","algodao","angico","burra","catingueira","cumaru","feijao","imbiratanha","imburana","ipe","jb","joazeiro ","juca","jupreta","mofumbo","mororo","pereiro"
"algodao",1,0.10668715318085,0.309666178635329,0.183442809056107,0.381676349647952,0.239249686065804,0.338902395066472,0.403497789394646,0.274241309755848,0.233033377322928,0.299573398475362,0.181969571933733,0.238717087741989,0.284479053110788,0.243240032950839,0.249414436120824
"angico",0.10668715318085,1,0.284749037697193,0.538031253209898,0.171146528173177,0.182753083348918,0.153623966285896,0.154098102981195,0.406076818423088,0.356769724151706,0.213650710564543,0.451907924476248,0.353408411496774,0.318492698434746,0.366870263689497,0.362030597233726
"burra",0.309666178635329,0.284749037697193,1,0.340273567492729,0.392782336754214,0.405144732400801,0.336959119365393,0.312938431243607,0.423455042471484,0.360233939798477,0.458130259945346,0.312246402064016,0.449791066814451,0.506806486591967,0.376468325761742,0.340043355652141
"catingueira",0.183442809056107,0.538031253209898,0.340273567492729,1,0.25452339870553,0.264523595830321,0.192903635929489,0.188945734629531,0.584400762399899,0.272907995458482,0.250139514142215,0.474181001645356,0.318583661069996,0.428913384376081,0.479628245016777,0.353020143171209
"cumaru",0.381676349647952,0.171146528173177,0.392782336754214,0.25452339870553,1,0.323899768597548,0.413078361721824,0.357612375621415,0.358074226383544,0.316384207147236,0.388776011275382,0.206014919322615,0.382590010444542,0.353013459875434,0.341703062087976,0.20235253709968
"feijao",0.239249686065804,0.182753083348918,0.405144732400801,0.264523595830321,0.323899768597548,1,0.411523040753016,0.295851549362566,0.358184192907384,0.421208069825354,0.445753255355688,0.261115777280054,0.432358601431755,0.446408924369251,0.367348805068903,0.356375556768611
"imbiratanha",0.338902395066472,0.153623966285896,0.336959119365393,0.192903635929489,0.413078361721824,0.411523040753016,1,0.490916035690155,0.289683733299086,0.406112354124837,0.439413032380929,0.217278598205513,0.32216047460228,0.361980785650138,0.434420307645779,0.346397528602541
"imburana",0.403497789394646,0.154098102981195,0.312938431243607,0.188945734629531,0.357612375621415,0.295851549362566,0.490916035690155,1,0.237060840679997,0.292225017759765,0.398819625116602,0.228280177418525,0.263337438812011,0.283257977438214,0.320131238327743,0.309290980083759
"ipe",0.274241309755848,0.406076818423088,0.423455042471484,0.584400762399899,0.358074226383544,0.358184192907384,0.289683733299086,0.237060840679997,1,0.381869971491352,0.31949296497167,0.352384375441226,0.386557992417892,0.486362599062227,0.510897488194569,0.414237869300474
"jb",0.233033377322928,0.356769724151706,0.360233939798477,0.272907995458482,0.316384207147236,0.421208069825354,0.406112354124837,0.292225017759765,0.381869971491352,1,0.430172860828391,0.235134971126064,0.415298291467484,0.434999412916671,0.508861068920329,0.385102834593065
"joazeiro ",0.299573398475362,0.213650710564543,0.458130259945346,0.250139514142215,0.388776011275382,0.445753255355688,0.439413032380929,0.398819625116602,0.31949296497167,0.430172860828391,1,0.281466822292392,0.432026088849776,0.453928719964313,0.454371398832221,0.3257856772267
"juca",0.181969571933733,0.451907924476248,0.312246402064016,0.474181001645356,0.206014919322615,0.261115777280054,0.217278598205513,0.228280177418525,0.352384375441226,0.235134971126064,0.281466822292392,1,0.30809818527006,0.386043696622494,0.418770369277716,0.316862017453279
"jupreta",0.238717087741989,0.353408411496774,0.449791066814451,0.318583661069996,0.382590010444542,0.432358601431755,0.32216047460228,0.263337438812011,0.386557992417892,0.415298291467484,0.432026088849776,0.30809818527006,1,0.528410029079928,0.408110633493853,0.272087977641661
"mofumbo",0.284479053110788,0.318492698434746,0.506806486591967,0.428913384376081,0.353013459875434,0.446408924369251,0.361980785650138,0.283257977438214,0.486362599062227,0.434999412916671,0.453928719964313,0.386043696622494,0.528410029079928,1,0.506778163565396,0.389474733042507
"mororo",0.243240032950839,0.366870263689497,0.376468325761742,0.479628245016777,0.341703062087976,0.367348805068903,0.434420307645779,0.320131238327743,0.510897488194569,0.508861068920329,0.454371398832221,0.418770369277716,0.408110633493853,0.506778163565396,1,0.37566995474643
"pereiro",0.249414436120824,0.362030597233726,0.340043355652141,0.353020143171209,0.20235253709968,0.356375556768611,0.346397528602541,0.309290980083759,0.414237869300474,0.385102834593065,0.3257856772267,0.316862017453279,0.272087977641661,0.389474733042507,0.37566995474643,1
