plot,NBE,CE,SE
3,7.59118491490167,2.53765240049798,5.0535325144037
4,12.47742155,26.6001690642202,-14.1227475142202
5,9.28813675,25.3962389222015,-16.1081021722015
6,22.00504675,6.62242971583984,15.3826170341602
8,6.58885675,0.956659393734802,5.6321973562652
12,2.94643975,19.5796608387161,-16.6332210887161
13,0.21993045,0.884429450050255,-0.664499000050255
14,40.80854415,83.408959126382,-42.600414976382
15,1.870358712,2.33943381897847,-0.469075106978472
16,18.06841175,22.1377886160861,-4.06937686608605
18,16.62323675,135.37418115721,-118.75094440721
19,20.77385173,44.1755340958892,-23.4016823658892
22,10.60360655,18.2263293344545,-7.62272278445448
24,2.26149975,0.00595385010874,2.25554589989126
25,11.30347321,23.4302533110996,-12.1267801010996
27,0.30548716,12.4914885686157,-12.1860014086157
28,21.203405586,19.989838335923,1.21356725007704
29,46.979980105,202.408750866899,-155.428770761899
32,10.14405906,4.18747237954937,5.95658668045063
33,0.29464145,-0.538881678185154,0.833523128185155
34,-0.49638325,3.35711573595089,-3.85349898595089
36,-0.20707265,7.35483593991103,-7.56190858991103
37,9.22559875,13.4847670789028,-4.25916832890283
39,46.6482790964,73.1868092431514,-26.5385301467514
40,5.23995415,14.5572597451297,-9.31730559512974
42,1.21859685,6.77872572498628,-5.56012887498628
43,6.99898375,15.6005065957375,-8.60152284573746
45,1.43572885,22.9153452435215,-21.4796163935215
46,66.89222635,83.166879394371,-16.274653044371
48,15.00225052,37.2209637931951,-22.218713273195
49,10.55804205,11.2878417905172,-0.729799740517168
50,31.74363105,46.2517717694449,-14.5081407194449
51,11.564532322,12.1838325570582,-0.619300235058238
53,5.04790875,6.83949870565872,-1.79158995565872
54,5.51528475,20.904871735307,-15.389586985307
55,1.341420218,4.74147790928195,-3.40005769128195
57,0.71535675,3.9269495200539,-3.2115927700539
59,82.46559975,306.964081206682,-224.498481456682
61,7.21485064,19.5006986500818,-12.2858480100818
64,-0.86273175,3.03884611218431,-3.90157786218431
67,-2.52193355,-1.19197811948568,-1.32995543051432
68,4.17292531,6.40017548543458,-2.22725017543458
71,17.26883351,22.7349851164529,-5.46615160645291
72,-1.39061505,1.51386614943219,-2.90448119943219
73,81.09329565,27.1735068963332,53.9197887536668
74,0.81781815,6.05485166233576,-5.23703351233576
75,5.65545935,3.00467152006861,2.65078782993139
76,11.13462675,76.0681212909236,-64.9334945409236
78,10.89537475,3.05659397618663,7.83878077381337
79,10.45327098,14.8831656039292,-4.42989462392918
80,7.86087485,18.7480530555027,-10.8871782055027
81,3.01888715,6.4063052560906,-3.3874181060906
85,6.38891475,11.8161231124632,-5.42720836246322
86,-1.09444985,6.39818104733801,-7.49263089733801
87,0.910676749999999,-0.961786953340036,1.87246370334004
88,3.09392215,-3.02685603934235,6.12077818934235
89,1.38946691,2.366400549495,-0.976933639495004
91,-2.037200929,-2.05349417162187,0.016293242621873
92,-2.39827565,-1.81764499127586,-0.580630658724136
94,0.03038505,4.88499179162747,-4.85460674162747
95,6.094809728,10.5450843117286,-4.45027458372858
96,3.39093775,20.1803694671888,-16.7894317171888
97,-1.25666825,-1.56033621219328,0.303667962193279
107,-2.63711325,-2.67714059539809,0.040027345398089
108,7.50303695,16.6592792202918,-9.15624227029178
109,4.84675175,15.8211767063486,-10.9744249563486
110,-0.77508825,5.63134582102517,-6.40643407102516
111,0.58589675,17.6082845531667,-17.0223878031667
112,15.96487805,22.262936982518,-6.29805893251798
113,-1.91018325,-3.20928393120179,1.29910068120179
114,0.43255875,1.38975418831313,-0.957195438313132
115,-4.15328485,-9.44356000044923,5.29027515044923
117,-2.63962415,-1.93339442039242,-0.706229729607585
119,-2.77850325,-2.72013060659679,-0.058372643403213
120,-1.20934325,1.00524489367027,-2.21458814367027
121,2.16446285,14.6697257339848,-12.5052628839848
122,7.80278275,26.3420324587113,-18.5392497087113
124,-1.36728255,-2.24619316508897,0.878910615088973
125,12.99918675,47.5661417762838,-34.5669550262838
127,1.38777796,3.2056583650389,-1.8178804050389
130,1.80174455,2.59255513882299,-0.790810588822988
131,13.77872775,54.630000433919,-40.851272683919
132,-0.520724,3.77804569429569,-4.29876969429569
133,1.73328775,8.3686718916167,-6.6353841416167
135,1.30893975,-7.24484644745884,8.55378619745884
136,-0.77988725,-5.38933610333607,4.60944885333607
137,-2.53684045,-3.69734760930341,1.16050715930341
138,-0.81838845,0.070317678550858,-0.888706128550858
139,-2.83634325,-2.74950739947283,-0.086835850527174
141,-1.23742325,4.33946081151758,-5.57688406151758
142,0.63954675,6.68187122888008,-6.04232447888008
143,-2.06342325,0.541998008683251,-2.60542125868325
145,-0.64170565,1.38055389760078,-2.02225954760078
146,-0.82270225,2.65048390787043,-3.47318615787043
149,0.36475545,2.69994316918373,-2.33518771918372
150,-1.29564325,-1.47974237089643,0.184099120896425
151,3.32168575,14.4127125054266,-11.0910267554266
153,1.90586035,-6.32662580656195,8.23248615656195
155,-2.32721655,-2.3272612864657,4.4736465700671E-05
