COMP,SR,mean,sd,ttest NBE,,ttest CE,,ttest SE,,,,,NBE,SE,CE
aa,2,8.39240775,11.8082232407155,"t = 1.231, df = 2, p-value = 0.3434",,"t = 0.79257, df = 2, p-value = 0.5111",,"t = 1.4645, df = 2, p-value = 0.2807",,,,div2,"t = 2.2848, df = 47, p-value = 0.02688","t = -1.8393, df = 47, p-value = 0.07219","t = 3.1013, df = 47, p-value = 0.003254"
aab,4,5.03187327496722,6.76521959408096,"t = 1.2883, df = 2, p-value = 0.3266",,"t = 0.87356, df = 2, p-value = 0.4745",,"t = 1.6459, df = 2, p-value = 0.2415",,,,,,,
aac,4,7.32221654,6.9971601102706,"t = 1.8125, df = 2, p-value = 0.2116",,"t = 0.81777, df = 2, p-value = 0.4994",,"t = -0.38937, df = 2, p-value = 0.7345",,,,div4,"t = 3.0175, df = 23, p-value = 0.006133","t = -2.2007, df = 23, p-value = 0.03806","t = 2.6844, df = 23, p-value = 0.0132"
aad,4,-1.10363208,1.41373271973349,"t = -1.3521, df = 2, p-value = 0.3089",,"t = 1.4905, df = 2, p-value = 0.2746",,"t = -2.2278, df = 2, p-value = 0.1557",,,,,,,
aae,4,0.743627916666667,2.01561592267153,"t = 0.63901, df = 2, p-value = 0.5882",,"t = 1.9832, df = 2, p-value = 0.1858",,"t = -2.629, df = 2, p-value = 0.1193",,,,div8,"t = 2.7945, df = 11, p-value = 0.01745","t = -1.4575, df = 11, p-value = 0.1729","t = 1.9447, df = 11, p-value = 0.07782"
aaf,4,0.8192401,4.18996514318262,"t = 0.33866, df = 2, p-value = 0.7671",,"t = 0.96062, df = 2, p-value = 0.4381",,"t = -1.2684, df = 2, p-value = 0.3323",,,,,,,
aag,4,0.028364116666667,1.86259764071584,"t = 0.026376, df = 2, p-value = 0.9814",,"t = 1.0803, df = 2, p-value = 0.3929",,"t = -1.375, df = 2, p-value = 0.3029",,,,div16,"t = 3.9224, df = 14, p-value = 0.001533","t = -1.9823, df = 14, p-value = 0.06743"," t = 2.739, df = 14, p-value = 0.01599"
aah,4,8.07848525,2.95335520720736,"t = 4.7378, df = 2, p-value = 0.04178",0,"t = 1.8374, df = 2, p-value = 0.2075",,"t = -1.5523, df = 2, p-value = 0.2608",,,,,,,
aai,4,2.47702066066667,1.48838519217071,"t = 2.8825, df = 2, p-value = 0.1022",,"t = 3.2246, df = 2, p-value = 0.0842",,"t = -2.833, df = 2, p-value = 0.1053",,,,,,,
bb,2,32.8591757166667,41.8274344016994,"t = 1.3607, df = 2, p-value = 0.3067",,"t = 1.236, df = 2, p-value = 0.3419",,"t = 1.4271, df = 2, p-value = 0.2897",,,,,,,
bbc,8,50.8931706166667,41.9275222148719,"t = 2.1024, df = 2, p-value = 0.1703",,"t = 1.5269, df = 2, p-value = 0.2663",,"t = -1.1944, df = 2, p-value = 0.3548",,,,,,,
bbd,8,9.98204785,3.34256652399339,"t = 5.1725, df = 2, p-value = 0.0354",0,"t = 1.9621, df = 2, p-value = 0.1888",,"t = -1.2826, df = 2, p-value = 0.3282",,,,,,,
bbe,8,10.342374962,10.9939743694107,"t = 1.6294, df = 2, p-value = 0.2448",,"t = 1.3374, df = 2, p-value = 0.3129",,"t = -0.16455, df = 2, p-value = 0.8844",,,,,,,
bbf,8,12.60327316,4.76866745531808,"t = 4.5777, df = 2, p-value = 0.04456",0,"t = 6.6962, df = 2, p-value = 0.02158",0,"t = -2.0744, df = 2, p-value = 0.1737",,,,,,,
cc,2,1.69998475,2.55356005154549,"t = 1.1531, df = 2, p-value = 0.3681",,"t = 2.8361, df = 2, p-value = 0.1051",,"t = -3.5023, df = 2, p-value = 0.07274",,,,,,,
ccc,16,17.1657209752933,16.9496045102319,"t = 3.9224, df = 14, p-value = 0.001533",0,"t = 2.739, df = 14, p-value = 0.01599",0,"t = -1.9823, df = 14, p-value = 0.06743",,,,,,,
dd,2,3.121377806,4.09281064944531,"t = 1.3209, df = 2, p-value = 0.3174",,"t = 1.3452, df = 2, p-value = 0.3108",,"t = -1.3555, df = 2, p-value = 0.308",,,,,,,
ee,2,8.06937241666667,8.07207330815301,"t = 1.7315, df = 2, p-value = 0.2255",,"t = 1.4193, df = 2, p-value = 0.2916",,"t = -1.3596, df = 2, p-value = 0.307",,,,,,,
ff,2,-1.10940611666667,1.32081340295106,"t = -1.4548, df = 2, p-value = 0.283",,"t = -2.8047, df = 2, p-value = 0.1071",,"t = 1.3419, df = 2, p-value = 0.3117",,,,,,,
gg,2,-0.35539325,0.93247369566117,"t = -0.66014, df = 2, p-value = 0.577",,"t = 2.2356, df = 2, p-value = 0.1549",,"t = -3.6408, df = 2, p-value = 0.06785",,,,,,,
hh,2,-1.01519471666667,0.951182276975057,"t = -1.8486, df = 2, p-value = 0.2058",,"t = 2.2049, df = 2, p-value = 0.1583",,"t = -3.6899, df = 2, p-value = 0.06623",,,,,,,
ii,2,2.68197331666667,5.94850544499534,"t = 0.78092, df = 2, p-value = 0.5166",,"t = 1.3884, df = 2, p-value = 0.2994",,"t = -2.3249, df = 2, p-value = 0.1456",,,,,,,
jj,2,-0.613912316666667,1.79567730302138,"t = -0.59216, df = 2, p-value = 0.6138",,"t = 0.68052, df = 2, p-value = 0.5664",,"t = -0.85513, df = 2, p-value = 0.4826",,,,,,,
kk,2,4.462185994,6.16939306810726,"t = 1.2528, df = 2, p-value = 0.3369",,"t = 1.5415, df = 2, p-value = 0.2631",,"t = -7.3336, df = 2, p-value = 0.01809",,,,,,,
ll,2,7.30685288333333,5.68932237841983,"t = 2.2245, df = 2, p-value = 0.1561",,"t = 1.0942, df = 2, p-value = 0.3881",,"t = -0.83847, df = 2, p-value = 0.49",,,,,,,
mm,2,2.42950058,4.19941495769708,"t = 1.002, df = 2, p-value = 0.4219",,"t = 1.4601, df = 2, p-value = 0.2817",,"t = -1.8018, df = 2, p-value = 0.2134",,,,,,,
nn,2,-1.63015335,0.911120944090701,"t = -3.0989, df = 2, p-value = 0.09025",0,"t = 0.36586, df = 2, p-value = 0.7495",,"t = -1.9061, df = 2, p-value = 0.1969",,,,,,,
oo,2,2.46595255,2.11203095862052,"t = 2.0223, df = 2, p-value = 0.1805",,"t = 3.4215, df = 2, p-value = 0.07583",,"t = -4.4091, df = 2, p-value = 0.04778",,,,,,,
pp,2,-2.55068247633333,0.445627468844635,"t = -9.9139, df = 2, p-value = 0.01002",0,"t = -11.034, df = 2, p-value = 0.0081130",0,"t = -1.3974, df = 2, p-value = 0.2971",,,,,,,
